"","X","family","address","city","school","lattitude","longitude"
"1",1,"Thind","10340 171A Street","Surrey","Bothwell Elementary School",49.1897791,-122.7469909
"2",2,"Singh","17155 102 Ave","Surrey","Bothwell Elementary School",49.1880809,-122.746883
"3",3,"Grewal","17141 102 Ave","Surrey","Bothwell Elementary School",49.188085,-122.74709
"4",4,"Cheema","171125 102 Ave","Surrey","Bothwell Elementary School",49.1877484,-122.8154367
"5",5,"Rogers","17061 102 Ave","Surrey","Bothwell Elementary School",49.188093,-122.749289
"6",6,"Reyers","10240 170a St","Surrey","Bothwell Elementary School",49.1888039,-122.749687
"7",7,"Lee","17063 102a Ave","Surrey","Bothwell Elementary School",49.1890064,-122.7493095
"8",8,"Li","17089 102a Ave","Surrey","Bothwell Elementary School",49.1889835,-122.7491793
"9",9,"Kim Lee","17063 102a Ave","Surrey","Bothwell Elementary School",49.1890064,-122.7493095
"10",10,"Park","10143 172 St","Surrey","Bothwell Elementary School",49.186833,-122.745635
"12",12,"Chaperton","10045 173 St","Surrey","Bothwell Elementary School",49.1849585,-122.7431253
"13",13,"Basham","10145 173 St","Surrey","Bothwell Elementary School",49.186748,-122.742918
"14",14,"Hackington","10295 173 St","Surrey","Bothwell Elementary School",49.189578,-122.742753
"15",15,"Abbey","17302 Abbey Dr","Surrey","Bothwell Elementary School",49.189332,-122.7425125
"16",16,"Golly","17386 Abbey Dr","Surrey","Bothwell Elementary School",49.188649,-122.740171
"17",17,"Harper","17323 103a Ave","Surrey","Bothwell Elementary School",49.1907609,-122.7422601
"18",18,"Tarly","17323 103A Ave","Surrey","Bothwell Elementary School",49.1907609,-122.7422601
"19",19,"Stark","10368 175 St","Surrey","Bothwell Elementary School",49.190307,-122.737267
"20",20,"Lannisters","10336 175 St","Surrey","Bothwell Elementary School",49.1904705,-122.7377179
"21",21,"Baratheons","16863 104 Ave","Surrey","Bothwell Elementary School",49.1918639,-122.7545252
"22",22,"Tully","10468 168 St","Surrey","Bothwell Elementary School",49.192759,-122.756288
"23",23,"Snow","10518 168 St","Surrey","Bothwell Elementary School",49.193824,-122.756266
"24",24,"Sand","16855 105a Ave","Surrey","Bothwell Elementary School",49.1945805,-122.75537
"25",25,"Clegene","16925 105a Ave","Surrey","Bothwell Elementary School",49.194654,-122.7532252
"26",26,"Bolton","10507 169a St","Surrey","Bothwell Elementary School",49.1938929,-122.7533223
"27",27,"Targaryen","16975 104a Ave","Surrey","Bothwell Elementary School",49.1926245,-122.7519002
"28",28,"Martell","10528 170a St","Surrey","Bothwell Elementary School",49.1939502,-122.7509284
"29",29,"Blackfyre","10498 171 St","Surrey","Bothwell Elementary School",49.1931889,-122.748676
"30",30,"Mormont","17101 104a Ave","Surrey","Bothwell Elementary School",49.191695,-122.748372
"31",31,"Greyjoy","17138 104a Ave","Surrey","Bothwell Elementary School",49.1922995,-122.7478375
"32",32,"Tyrell","17192 101a Ave","Surrey","Bothwell Elementary School",49.1868375,-122.7459521
"33",33,"John","10130 171a St","Surrey","Bothwell Elementary School",49.1866214,-122.7468566
"34",34,"Jake","10108 171a St","Surrey","Bothwell Elementary School",49.1862641,-122.7469693
"35",35,"Jyro","16650 102 Ave","Surrey","Bothwell Elementary School",49.188563,-122.760108
"36",36,"Food","16650 102 Ave","Surrey","Bothwell Elementary School",49.188563,-122.760108
"37",37,"Poutine","16668 Parkview Pl","Surrey","Bothwell Elementary School",49.189727,-122.760326
