"","family","address","city","school","lattitude","longitude","Cluster","fakeDist"
"1","Thind","10340 171A Street","Surrey","Bothwell Elementary School",49.1897791,-122.7469909,"1",1775.46047760057
"2","Singh","17155 102 Ave","Surrey","Bothwell Elementary School",49.1880809,-122.746883,"1",2548.0499671821
"3","Grewal","17141 102 Ave","Surrey","Bothwell Elementary School",49.188085,-122.74709,"1",2546.09142581769
"4","Cheema","171125 102 Ave","Surrey","Bothwell Elementary School",49.1877484,-122.8154367,"3",439.98318606196
"5","Rogers","17061 102 Ave","Surrey","Bothwell Elementary School",49.188093,-122.749289,"1",2084.04547484429
"6","Reyers","10240 170a St","Surrey","Bothwell Elementary School",49.1888039,-122.749687,"1",1183.99606794561
"7","Lee","17063 102a Ave","Surrey","Bothwell Elementary School",49.1890064,-122.7493095,"1",2870.74444516655
"8","Li","17089 102a Ave","Surrey","Bothwell Elementary School",49.1889835,-122.7491793,"1",348.061343711568
"9","Kim Lee","17063 102a Ave","Surrey","Bothwell Elementary School",49.1890064,-122.7493095,"1",25.9785141651519
"10","Park","10143 172 St","Surrey","Bothwell Elementary School",49.186833,-122.745635,"1",2020.18424347485
"11","Chaperton","10045 173 St","Surrey","Bothwell Elementary School",49.1849585,-122.7431253,"1",1911.51187892864
"12","Basham","10145 173 St","Surrey","Bothwell Elementary School",49.186748,-122.742918,"1",964.361180975102
"13","Hackington","10295 173 St","Surrey","Bothwell Elementary School",49.189578,-122.742753,"1",820.96852087439
"14","Abbey","17302 Abbey Dr","Surrey","Bothwell Elementary School",49.189332,-122.7425125,"1",2980.58019107021
"15","Golly","17386 Abbey Dr","Surrey","Bothwell Elementary School",49.188649,-122.740171,"1",2407.18623396056
"16","Harper","17323 103a Ave","Surrey","Bothwell Elementary School",49.1907609,-122.7422601,"1",640.975089222193
"17","Tarly","17323 103A Ave","Surrey","Bothwell Elementary School",49.1907609,-122.7422601,"1",1622.39046517597
"18","Stark","10368 175 St","Surrey","Bothwell Elementary School",49.190307,-122.737267,"1",2506.98093090882
"19","Lannisters","10336 175 St","Surrey","Bothwell Elementary School",49.1904705,-122.7377179,"1",1622.02052540984
"20","Baratheons","16863 104 Ave","Surrey","Bothwell Elementary School",49.1918639,-122.7545252,"4",482.974463303806
"21","Tully","10468 168 St","Surrey","Bothwell Elementary School",49.192759,-122.756288,"4",1816.6825953112
"22","Snow","10518 168 St","Surrey","Bothwell Elementary School",49.193824,-122.756266,"4",674.2456320005
"23","Sand","16855 105a Ave","Surrey","Bothwell Elementary School",49.1945805,-122.75537,"4",2476.69955364265
